run 66: {'page': 1, 'para': 8, 'line': 17, 'text': 'e.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 67: {'page': 1, 'para': 9, 'line': 18, 'text': '5) N', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 68: {'page': 1, 'para': 9, 'line': 18, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 69: {'page': 1, 'para': 9, 'line': 18, 'text': 'here Betrachtung des ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 70: {'page': 1, 'para': 9, 'line': 18, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 71: {'page': 1, 'para': 9, 'line': 18, 'text': 'innlichen Urtheils.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 72: {'page': 1, 'para': 9, 'line': 19, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 73: {'page': 1, 'para': 9, 'line': 19, 'text': 'Ent', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 74: {'page': 1, 'para': 9, 'line': 19, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 75: {'page': 1, 'para': 9, 'line': 19, 'text': 'tehungsart de', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 76: {'page': 1, 'para': 9, 'line': 19, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 77: {'page': 1, 'para': 9, 'line': 19, 'text': 'elben.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 78: {'page': 1, 'para': 10, 'line': 20, 'text': '1.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 79: {'page': 1, 'para': 11, 'line': 21, 'text': 'Alle vorhergehende Betrachtungen f', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 80: {'page': 1, 'para': 11, 'line': 21, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 81: {'page': 1, 'para': 11, 'line': 21, 'text': 'hren noch im-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 82: {'page': 1, 'para': 11, 'line': 22, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 83: {'page': 1, 'para': 11, 'line': 22, 'text': 'mer auf das n', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 84: {'page': 1, 'para': 11, 'line': 22, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 85: {'page': 1, 'para': 11, 'line': 22, 'text': 'mliche Re', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 86: {'page': 1, 'para': 11, 'line': 22, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 87: {'page': 1, 'para': 11, 'line': 22, 'text': 'ultat hin. Ein We', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 88: {'page': 1, 'para': 11, 'line': 22, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 89: {'page': 1, 'para': 11, 'line': 22, 'text': 'en,', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 90: {'page': 1, 'para': 11, 'line': 23, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 91: {'page': 1, 'para': 11, 'line': 23, 'text': 'das f', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
